tconst,startYear,runtimeMinutes
tt10344522,2020,100.0
tt10345590,2020,97.0
tt10350626,2020,112.0
tt10350922,2020,141.0
tt10351180,2023,122.0
tt10358198,2020,116.0
tt10360772,2021,103.0
tt10360862,2020,104.0
tt10362466,2020,105.0
tt10362566,2021,98.0
tt10364034,2023,105.0
tt10365912,2025,122.0
tt10365998,2023,117.0
tt10366206,2023,169.0
tt10366460,2021,111.0
tt10366514,2021,108.0
tt10370710,2021,128.0
tt10370812,2023,97.0
tt10374610,2025,108.0
tt10375106,2020,77.0
tt10375470,2020,95.0
tt10384744,2019,116.0
tt10393870,2022,121.0
tt10394738,2020,97.0
tt10399608,2022,99.0
tt10400028,2021,100.0
tt10403420,2022,138.0
tt10404944,2020,105.0
tt10405142,2021,98.0
tt10406596,2021,93.0
tt10407272,2019,110.0
tt10409498,2019,117.0
tt10413566,2020,90.0
tt10418662,2021,96.0
tt10431500,2019,132.0
tt10441806,2020,121.0
tt10443846,2019,137.0
tt10449276,2024,86.0
tt10451852,2020,124.0
tt10451914,2021,114.0
tt10456740,2020,92.0
tt10457128,2020,101.0
tt10463030,2020,114.0
tt10472102,2020,60.0
tt10473036,2022,93.0
tt10477558,2019,90.0
tt10481868,2019,92.0
tt10482504,2020,103.0
tt10483386,2021,135.0
tt10505316,2021,149.0
tt10505918,2025,179.0
tt10508838,2020,110.0
tt10514222,2020,94.0
tt10515086,2019,130.0
tt10515526,2020,132.0
tt10515864,2021,139.0
tt10515988,2021,98.0
tt1051904,2015,103.0
tt1051906,2020,124.0
tt10521092,2020,124.0
tt10521144,2021,103.0
tt10525672,2020,130.0
tt10530176,2020,112.0
tt10534500,2021,158.0
tt10539608,2020,118.0
tt10543680,2020,125.0
tt10545296,2023,157.0
tt10545484,2019,118.0
tt10548174,2025,115.0
tt10550884,2019,129.0
tt10554232,2020,130.0
tt10556022,2020,103.0
tt10579952,2021,179.0
tt10598156,2022,135.0
tt10600398,2020,100.0
tt10612922,2020,114.0
tt10618286,2020,131.0
tt10620868,2020,98.0
tt10627584,2020,94.0
tt10627720,2019,110.0
tt10628092,2020,108.0
tt10633456,2020,115.0
tt10638522,2022,95.0
tt10640346,2022,189.0
tt10642834,2020,123.0
tt10644708,2022,122.0
tt10648342,2022,118.0
tt10648440,2019,103.0
tt10648714,2021,136.0
tt10649016,2020,122.0
tt10651230,2023,114.0
tt10655524,2024,130.0
tt10661710,2021,112.0
tt10661848,2021,158.0
tt10665338,2021,105.0
tt10665342,2022,111.0
tt10675136,2019,85.0
tt10675724,2020,101.0
tt10676012,2021,116.0
tt10676048,2023,105.0
tt10676052,2025,115.0
tt10682266,2020,103.0
tt10687070,2021,140.0
tt10687116,2022,93.0
tt10687506,2021,111.0
tt10691162,2021,114.0
tt10696784,2021,139.0
tt10696896,2021,139.0
tt10698174,2021,99.0
tt10698680,2022,166.0
tt10699086,2022,147.0
tt10701074,2022,167.0
tt10702148,2020,85.0
tt10706602,2019,109.0
tt1070874,2020,129.0
tt10709484,2022,165.0
tt10710246,2019,123.0
tt10714856,2020,109.0
tt10715446,2021,111.0
tt10717738,2020,144.0
tt10720352,2024,107.0
tt1072748,2018,99.0
tt10728764,2020,91.0
tt10731256,2022,123.0
tt10731264,2020,141.0
tt10731768,2021,110.0
tt10733228,2022,148.0
tt10736580,2020,91.0
tt10738536,2021,112.0
tt10739666,2021,138.0
tt10741542,2021,131.0
tt10752004,2021,104.0
tt10761694,2021,126.0
tt10763618,2019,122.0
tt10763820,2021,107.0
tt10767052,2023,104.0
tt10767168,2019,97.0
tt10772662,2020,88.0
tt10773090,2020,169.0
tt10786774,2023,150.0
tt10793644,2019,89.0
tt10796286,2020,121.0
tt10799690,2025,101.0
tt10804178,2019,140.0
tt10806040,2022,178.0
tt10808832,2020,113.0
tt10811166,2022,170.0
tt1082807,2016,89.0
tt10831086,2020,93.0
tt10833378,2022,87.0
tt1083452,2015,106.0
tt10838180,2021,148.0
tt10840884,2020,143.0
tt10843306,2019,88.0
tt10855768,2023,111.0
tt10856726,2019,84.0
tt1086064,2020,91.0
tt10869778,2024,181.0
tt10872600,2021,148.0
tt10883004,2019,86.0
tt10883506,2019,156.0
tt10885444,2020,119.0
tt10886166,2020,114.0
tt10888594,2021,109.0
tt10888708,2020,100.0
tt10895556,2021,129.0
tt10895576,2021,132.0
tt10896634,2021,90.0
tt10899402,2021,114.0
tt10914452,2020,93.0
tt10915286,2019,86.0
tt10919240,2021,162.0
