tconst,startYear,runtimeMinutes,budget,revenue,production_companies,original_language,origin_country,top_3_cast,director,keywords,genres,certification_us,release_date
tt2076298,2019,107.0,52000000.0,239000000.0,"[4054, 154080]",cn,"['HK', 'CN']","[{'id': 1341, 'popularity': 3.3074}, {'id': 1800792, 'popularity': 2.233}, {'id': 83633, 'popularity': 1.0547}]","[{'id': 63571, 'popularity': 1.0652}]","[2356, 779, 780, 387, 1721, 582, 1788, 3436, 9672, 9663, 10163, 12425, 13159, 33402, 208992, 294348]","[28, 36, 18]",NR,2019-12-19
tt2076822,2021,109.0,125000000.0,26508132.0,"[80680, 1632, 13240, 787, 72441, 147591, 47706, 53152]",en,['US'],"[{'id': 1136406, 'popularity': 5.6946}, {'id': 1315036, 'popularity': 2.7703}, {'id': 1019, 'popularity': 4.3707}]","[{'id': 11694, 'popularity': 1.0999}]","[818, 4565, 4458, 220815, 246466, 325793]","[14, 878, 12]",PG-13,2021-02-24
tt20768712,2023,107.0,20000000.0,27849137.0,"[106839, 181874, 197937, 10146, 33]",en,['US'],"[{'id': 3092, 'popularity': 2.539}, {'id': 6352, 'popularity': 2.3665}, {'id': 11850, 'popularity': 2.1185}]","[{'id': 971660, 'popularity': 0.224}]","[131, 5248, 6876, 7567]","[35, 10749]",PG-13,2023-05-11
tt20782072,2022,104.0,2200000.0,,"[169296, 327, 183045, 2802]",sv,['SE'],"[{'id': 1512920, 'popularity': 0.1798}, {'id': 2280178, 'popularity': 2.7493}, {'id': 1297930, 'popularity': 0.0599}]","[{'id': 1451375, 'popularity': 0.1399}]","[226406, 253419, 288728]",[27],,2022-10-28
tt2078718,2016,91.0,,,"[65013, 890, 39004, 76293, 76294]",en,['US'],"[{'id': 8329, 'popularity': 1.7397}, {'id': 11278, 'popularity': 1.6338}, {'id': 43138, 'popularity': 1.5612}]","[{'id': 57271, 'popularity': 0.2417}]","[818, 10877, 13005]","[53, 80, 9648]",,2016-04-29
tt2080374,2015,122.0,30000000.0,34400000.0,"[258, 1557, 6707, 8286, 78984, 33, 923]",en,['US'],"[{'id': 17288, 'popularity': 3.5885}, {'id': 204, 'popularity': 5.5236}, {'id': 19274, 'popularity': 3.9319}]","[{'id': 2034, 'popularity': 1.4413}]","[6104, 5565, 9672, 240303, 240422, 316832, 325786, 325802]","[18, 36]",R,2015-10-09
tt20850406,2022,163.0,3400000.0,11800000.0,"[80065, 104527]",te,['IN'],"[{'id': 1115225, 'popularity': 0.8808}, {'id': 1766034, 'popularity': 1.3592}, {'id': 1752056, 'popularity': 1.0597}]","[{'id': 1135092, 'popularity': 0.1103}]","[254167, 287390, 311952, 321464, 324429, 324700, 325761, 325775, 325856, 336395]","[36, 10749, 18]",,2022-08-05
tt20854842,2022,148.0,,,[96781],mr,['IN'],"[{'id': 84957, 'popularity': 1.0474}, {'id': 87358, 'popularity': 0.4537}, {'id': 2859552, 'popularity': 0.2016}]","[{'id': 84957, 'popularity': 1.0474}]",,"[18, 10749]",,2022-12-30
tt20854856,2024,106.0,,,[3081],hi,['IN'],"[{'id': 1904879, 'popularity': 0.5143}, {'id': 3899248, 'popularity': 0.078}, {'id': 1316981, 'popularity': 0.0886}]","[{'id': 1174409, 'popularity': 0.1417}]",,"[10749, 18, 35]",,2024-06-21
tt20859464,2022,93.0,,,"[89269, 197256]",en,['US'],"[{'id': 3328807, 'popularity': 0.0725}, {'id': 3977672, 'popularity': 0.0614}, {'id': 2615845, 'popularity': 0.052}]","[{'id': 3977672, 'popularity': 0.0614}]","[2337, 310, 2051, 3338, 4950, 11011, 14544, 15271, 18091, 161219, 181324, 210434, 212737, 225219, 241609, 247099, 266753, 275292, 325787, 357088, 357102]","[878, 53, 9648]",NR,2023-04-27
tt20879602,2023,95.0,7500000.0,4393504.0,"[181874, 17929]",en,['US'],"[{'id': 3092, 'popularity': 2.539}, {'id': 1205, 'popularity': 3.5441}, {'id': 4038, 'popularity': 2.9109}]","[{'id': 69138, 'popularity': 0.653}]","[1332, 10181, 13043, 14534, 159947, 221296, 230960, 237216, 281150, 293203, 319792]","[35, 10749, 18]",PG-13,2023-01-27
tt2088950,2017,104.0,,,"[87505, 22704, 6345]",en,['US'],"[{'id': 19536, 'popularity': 2.3586}, {'id': 10696, 'popularity': 4.298}, {'id': 4808, 'popularity': 5.325}]","[{'id': 4808, 'popularity': 5.325}]","[236, 380, 428, 10756, 196003, 203286, 211553, 284988]",[18],R,2017-09-21
tt2090465,2017,93.0,,,"[2108, 59663, 72810, 59593]",en,['US'],"[{'id': 3131, 'popularity': 4.2241}, {'id': 1244, 'popularity': 3.6148}, {'id': 15555, 'popularity': 4.4811}]","[{'id': 80978, 'popularity': 1.0332}]","[1533, 776, 9714, 9826, 13017, 13028, 181602, 222334, 235261]","[53, 9648, 18]",R,2017-05-26
tt2091256,2017,89.0,38000000.0,125427681.0,"[521, 30246]",en,['US'],"[{'id': 55638, 'popularity': 5.003}, {'id': 111678, 'popularity': 0.9862}, {'id': 27105, 'popularity': 2.268}]","[{'id': 94075, 'popularity': 0.428}]","[6054, 818, 9715, 3508, 3289, 5451, 10873, 12974, 15101, 160247, 250636, 314730, 325811, 325856]","[10751, 35, 16, 878, 28]",PG,2017-06-01
tt2091478,2015,95.0,,,"[85465, 7625, 23921, 50032]",en,"['CA', 'US']","[{'id': 4886, 'popularity': 4.1514}, {'id': 938, 'popularity': 2.8405}, {'id': 65345, 'popularity': 1.5434}]","[{'id': 1351814, 'popularity': 0.1031}]","[2964, 9685, 175629]","[878, 53]",PG-13,2015-08-14
