tconst,startYear,runtimeMinutes,budget,revenue,production_companies,original_language,origin_country,top_3_cast,director,keywords,genres,certification_us,release_date
tt7190460,2017,151.0,,,[18048],ta,['IN'],"[{'id': 559892, 'popularity': 0.6079}, {'id': 223160, 'popularity': 0.3635}, {'id': 586584, 'popularity': 0.5858}]","[{'id': 560039, 'popularity': 1.0531}]","[10714, 155790, 237978]","[28, 80, 53]",,2017-09-14
tt7205316,2018,101.0,,1100000.0,"[694, 7561, 96107, 19037, 104]",fr,['FR'],"[{'id': 19163, 'popularity': 1.2899}, {'id': 8791, 'popularity': 1.2597}, {'id': 238401, 'popularity': 0.2973}]","[{'id': 238401, 'popularity': 0.2973}]","[65, 13088, 157799, 160246, 179178, 187056]","[35, 10749]",,2018-05-02
tt7207238,2017,90.0,,1723379.0,"[52759, 7521, 189457]",en,['US'],"[{'id': 186329, 'popularity': 0.608}, {'id': 928583, 'popularity': 0.0948}, {'id': 928581, 'popularity': 0.8446}]","[{'id': 102109, 'popularity': 0.3068}]","[409, 2552, 5565, 18330, 154866, 190026, 198343, 226436, 228384, 232487, 238409, 252105, 299767]",[99],,2017-12-28
tt7208564,2018,92.0,,,[17412],en,['US'],"[{'id': 88392, 'popularity': 0.6411}, {'id': 559643, 'popularity': 0.9566}, {'id': 1649152, 'popularity': 1.9542}]","[{'id': 1507651, 'popularity': 0.4582}]",[160213],"[35, 27]",,2018-08-17
tt7209472,2020,83.0,1870000.0,,[103691],en,"['AU', 'US']","[{'id': 2702878, 'popularity': 0.0}, {'id': 1840498, 'popularity': 0.1114}, {'id': 2702880, 'popularity': 0.0}]","[{'id': 2702874, 'popularity': 0.0256}]",[6152],"[27, 9648, 53]",,2020-02-28
tt7209510,2018,99.0,15000.0,,[28038],en,"['AT', 'US']","[{'id': 1344622, 'popularity': 0.19}, {'id': 35468, 'popularity': 1.1852}, {'id': 1219415, 'popularity': 0.3888}]","[{'id': 1344622, 'popularity': 0.19}]",[],"[99, 16, 35, 36]",,2018-03-16
tt7212726,2018,158.0,,,"[7294, 19146, 80908]",hi,['IN'],"[{'id': 224223, 'popularity': 1.6345}, {'id': 1848952, 'popularity': 1.3871}, {'id': 95750, 'popularity': 0.5881}]","[{'id': 86783, 'popularity': 0.6015}]","[11734, 165317, 287118]","[28, 35, 18]",,2018-12-28
tt7212754,2020,150.0,,,"[3522, 264825, 219954]",hi,['IN'],"[{'id': 1179460, 'popularity': 0.6775}, {'id': 35793, 'popularity': 1.7133}, {'id': 2821357, 'popularity': 0.6077}]","[{'id': 119819, 'popularity': 0.2508}]","[1930, 3149, 161999, 183728]","[80, 35]",PG-13,2020-11-12
tt7213936,2017,106.0,,,"[2801, 8288, 88231, 7823, 21979, 151786, 4606, 587]",no,['NO'],"[{'id': 1864299, 'popularity': 0.0941}, {'id': 227849, 'popularity': 0.8841}, {'id': 1566624, 'popularity': 0.2669}]","[{'id': 1199731, 'popularity': 0.1757}]",[],[18],,2017-10-06
tt7214762,2017,94.0,,,"[17209, 113634]",en,['US'],"[{'id': 206, 'popularity': 5.3851}, {'id': 518, 'popularity': 2.9849}, {'id': 3974, 'popularity': 1.1679}]","[{'id': 31654, 'popularity': 0.3551}]","[33490, 227476]","[99, 18, 35]",,2017-09-05
