tconst,startYear,runtimeMinutes,budget,production_companies,original_language,origin_country,top_3_cast,director,keywords,genres,certification_us,release_date,profitable
tt5308322,2017,96.0,4800000.0,"[23592, 3172, 96377, 33]",en,['US'],"[{'id': 1427680, 'popularity': 1.5764}, {'id': 969140, 'popularity': 0.7783}, {'id': 1476053, 'popularity': 0.4091}]","[{'id': 54248, 'popularity': 0.8812}]","[3616, 9826, 10854, 12339, 206298, 207844, 238142, 325769, 325856]","[35, 27, 9648]",PG-13,2017-10-12,1
tt15339456,2021,90.0,6000000.0,"[12219, 3173, 169139, 173277, 187404]",en,['US'],"[{'id': 213001, 'popularity': 2.4252}, {'id': 1540069, 'popularity': 0.5486}, {'id': 6588, 'popularity': 1.6179}]","[{'id': 1540069, 'popularity': 0.5486}]","[736, 11800, 10121, 18035, 160517, 183732, 194258, 197349, 208349, 230225, 254730, 267659, 268132]","[16, 35, 18, 10751]",PG,2022-06-24,0
tt2378507,2017,127.0,9000000.0,"[1632, 32555, 72441, 22842]",en,['US'],"[{'id': 60073, 'popularity': 2.9843}, {'id': 57755, 'popularity': 5.3106}, {'id': 3489, 'popularity': 3.4104}]","[{'id': 1144604, 'popularity': 0.8706}]","[10041, 14641, 202371, 239797, 240303, 319319, 325787, 325814]",[18],PG-13,2017-08-11,0
tt6294822,2017,116.0,50000000.0,"[25, 7, 7294, 6735, 56, 84041, 22213, 27497]",en,['US'],"[{'id': 5064, 'popularity': 4.9541}, {'id': 31, 'popularity': 13.074}, {'id': 34490, 'popularity': 2.7282}]","[{'id': 488, 'popularity': 6.7529}]","[2957, 918, 736, 521, 6078, 1228, 917, 2968, 5565, 9672, 9376, 11771, 162300, 188994, 209817, 315310]","[18, 36]",PG-13,2017-12-22,1
tt27657135,2024,109.0,25000000.0,"[5, 32157, 22213]",en,['US'],"[{'id': 1476330, 'popularity': 0.792}, {'id': 1976054, 'popularity': 1.2303}, {'id': 1367617, 'popularity': 0.6088}]","[{'id': 52443, 'popularity': 1.0746}]","[242, 4630, 1228, 5565, 9672, 156203, 160424, 164246, 251667, 254572, 259376, 319397, 325773, 325778, 325812, 325856]","[35, 18]",R,2024-09-27,0
tt17505010,2024,181.0,50000000.0,[150069],en,['US'],"[{'id': 1269, 'popularity': 6.6699}, {'id': 23459, 'popularity': 5.1732}, {'id': 65731, 'popularity': 3.8373}]","[{'id': 1269, 'popularity': 6.6699}]","[680, 1551, 1411, 1508, 179585, 187321, 192945, 207928, 245727, 260872, 261264, 273293, 278700, 308216, 309974, 325771, 325783, 325800]","[37, 18]",R,2024-06-26,0
tt17676734,2023,107.0,9000000.0,"[13240, 53152, 194285, 37504, 147591]",en,['US'],"[{'id': 115440, 'popularity': 18.6647}, {'id': 1294982, 'popularity': 2.3743}, {'id': 1997030, 'popularity': 0.8351}]","[{'id': 1452383, 'popularity': 0.2113}]","[10123, 9854, 15208, 185456, 195405, 325764, 325765, 325781]","[80, 37, 35]",R,2025-08-15,0
tt3077214,2015,106.0,14000000.0,"[7981, 6705, 7281, 290, 2054]",en,['GB'],"[{'id': 36662, 'popularity': 3.7284}, {'id': 1283, 'popularity': 3.9605}, {'id': 2039, 'popularity': 4.2771}]","[{'id': 93288, 'popularity': 0.222}]","[212, 5565, 11718, 15060, 187056, 210184, 214831]","[18, 36]",PG-13,2015-10-16,0
tt4516162,2019,129.0,3800000.0,"[76923, 46111, 7306, 9021, 162, 155990, 201]",it,['IT'],"[{'id': 509344, 'popularity': 1.1049}, {'id': 2244631, 'popularity': 0.1955}, {'id': 96974, 'popularity': 0.2863}]","[{'id': 149265, 'popularity': 0.2614}]",[818],"[10749, 18]",,2019-09-04,0
tt1700841,2016,89.0,19000000.0,"[5, 13184, 16615, 46875]",en,['US'],"[{'id': 19274, 'popularity': 3.9319}, {'id': 41091, 'popularity': 2.8167}, {'id': 21007, 'popularity': 2.4714}]","[{'id': 142587, 'popularity': 0.2293}, {'id': 12080, 'popularity': 2.1058}]","[1545, 1817, 9755, 11477, 9956, 10144, 10637, 12425, 158718, 161919, 168867, 217311, 228646, 346769]","[12, 16, 35, 14]",R,2016-07-11,1
